,doc_id,annotated_page_num,para_num,event_id,event,locationContext,sentence_text,temporalContext,explanation,pg_num,blk_id,sentence_id,doc_sentence_count,doc_sent_linear_order,linear_order
141,-1392419885,2.0,3.0,E:-1577969145,R0 = 2.38,Italy,"On,day,1,,,undetected,),;,R,,,recognized,(,symptomatic,infected,,,detected,),;,T,,,threatened,(,infected,with,life-threatening,symptoms,,,detected,),;,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,H,,,healed,(,recovered,),;,E,,,extinct,(,dead,),.",on day 1,R0 on Day 1,2,4,4,13,8,142
142,-1392419885,2.0,3.0,E:885336195,basic reproduction number was R0,Italy,"On,day,1,,,undetected,),;,R,,,recognized,(,symptomatic,infected,,,detected,),;,T,,,threatened,(,infected,with,life-threatening,symptoms,,,detected,),;,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,H,,,healed,(,recovered,),;,E,,,extinct,(,dead,),.",day 1,,2,4,4,13,8,143
143,-1392419885,2.0,3.0,E:-1163710122,R0 = 2.38,Italy,"On,day,1,,,undetected,),;,R,,,recognized,(,symptomatic,infected,,,detected,),;,T,,,threatened,(,infected,with,life-threatening,symptoms,,,detected,),;,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,H,,,healed,(,recovered,),;,E,,,extinct,(,dead,),.",day 1,,2,4,4,13,8,144
186,-1392419885,2.0,3.0,E:-755935773,"R0 = 2.38, which resulted in a H",,"On,day,1,,,undetected,),;,R,,,recognized,(,symptomatic,infected,,,detected,),;,T,,,threatened,(,infected,with,life-threatening,symptoms,,,detected,),;,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,H,,,healed,(,recovered,),;,E,,,extinct,(,dead,),.",,mixed up lines between the two columns.,2,4,4,13,8,187
190,-1392419885,2.0,3.0,E:-2122915162,R0 = 1.66,Italy,"On,day,4,,,R0,=,1.66,as,a,result,of,the,introducthese,stages,are,shown,in,Fig.,1,.",on day 4,R0 on Day 4,2,4,6,13,10,191
265,-1392419885,2.0,3.0,E:-252935111,R0 = 1.80,Italy,"focused,on,symptomatic,individuals,(,leading,to,R0,=,1.80,),.",at day 12,R0 on day 12,2,4,11,13,15,266
3848,-950883277,10.0,14.0,E:-2133017086,possible underestimation or overestimation of the epidemic phenomenon based on current statistics,Italy,"Once,the,model,parameters,have,been,estimated,on,the,basis,of,the,available,clinical,data,,,the,model,enables,us,to,reproduce,and,predict,the,dynamic,evolution,of,the,epidemic,and,to,evaluate,the,possible,underestimation,or,overestimation,of,the,epidemic,phenomenon,based,on,current,statistics,,,which,are,heavily,subject,to,bias,(,for,example,,,asymptomatic,patients,may,get,tested,according,to,some,protocols,,,not,tested,according,to,others,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,4,8,18,198,3849
3868,-950883277,10.0,15.0,E:821541807,"more extensive screening for the disease or stricter social-distancing measures), which typically results in a change",Italy,"The,model,helps,evaluate,and,predict,the,effect,of,the,implementation,of,different,guidelines,and,protocols,(,for,example,,,more,extensive,screening,for,the,disease,or,stricter,social-distancing,measures,),,,which,typically,results,in,a,change,in,the,model,parameters,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,4,9,18,199,3869
3906,-950883277,9.0,4.0,E:1232417717,model predictions in the long run are not very sensitive to the initial conditions,Italy,"The,model,predictions,in,the,long,run,are,not,very,sensitive,to,the,initial,conditions,,,but,they,are,sensitive,to,the,parameter,values,(,and,in,particular,extremely,sensitive,to,some,of,these,,,as,our,sensitivity,analysis,has,indicated,),,,which,are,deeply,uncertain,and,can,vary,due,to,several,factors,,,such,as,population,density,,,cultural,habits,,,environmental,conditions,and,age,distribution,of,the,population,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,10,4,10,18,200,3907
3907,-950883277,1.0,1.0,E:-1030903926,they are sensitive to the parameter values,,"The,model,predictions,in,the,long,run,are,not,very,sensitive,to,the,initial,conditions,,,but,they,are,sensitive,to,the,parameter,values,(,and,in,particular,extremely,sensitive,to,some,of,these,,,as,our,sensitivity,analysis,has,indicated,),,,which,are,deeply,uncertain,and,can,vary,due,to,several,factors,,,such,as,population,density,,,cultural,habits,,,environmental,conditions,and,age,distribution,of,the,population,.",,mixed up lines between the two columns.,10,4,10,18,200,3908
3422,-731024835,3.0,4.0,E:687500048,"3a,b shows,",Italy,"Figure,3a,,,b,shows,,,if,the,lockdown,is,weakened,,,a,sudden,and,strong,increase,of,the,spread,of,disease,,,a,prolonged,emergency,and,more,deaths,(,0.12,%,of,the,population,in,the,first,350,days,),.",20 February 2020 (day 1) to 5 April 2020 (day 46),wrong event.,3,8,4,9,180,3423
3443,-731024835,3.0,4.0,E:626481983,"Figure 3c,d",Italy,"Figure,3c,,,d,shows,the,benefits,of,stricter,lockdown,measures,:,after,350,days,,,0.41,%,of,the,population,would,contract,the,virus,(,0.30,%,diagnosed,),and,0.04,%,of,the,population,would,die,.",20 February 2020 (day 1) to 5 April 2020 (day 46),wrong event.,3,8,5,9,181,3444
3482,-731024835,3.0,5.0,E:699682215,"Figure 4a,b",Italy,"Figure,4a,,,b,shows,the,effect,of,such,measures,:,the,peak,would,be,reached,sooner,and,,,after,350,days,,,0.43,%,of,the,population,would,contract,the,virus,(,0.33,%,diagnosed,),,,with,an,estimated,0.05,%,dying,.",20 February 2020 (day 1) to 5 April 2020 (day 46),wrong event.,3,8,7,9,183,3483
3514,-731024835,3.0,5.0,E:1532229117,"Figure 4c,d",Italy,"Figure,4c,,,d,shows,the,effect,of,combining,a,milder,lockdown,with,widespread,testing,and,contact,tracing,:,after,350,days,,,0.52,%,of,the,population,would,contract,the,virus,(,0.41,%,diagnosed,),and,0.05,%,would,die,.",20 February 2020 (day 1) to 5 April 2020 (day 46),wrong event.,3,8,8,9,184,3515
3272,-705395381,18.0,1.0,E:-2028267160,"transmission coefficient gamma, whose nominal value is gamma=0",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,gamma,,,whose,nominal,value,is,gamma,=0,.11,,,after,day,50,.",after day 50,,22,1,1,5,171,3273
3273,-705395381,22.0,1.0,E:-198771057,"transmission coefficient gamma, whose nominal value is gamma=0.11",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,gamma,,,whose,nominal,value,is,gamma,=0,.11,,,after,day,50,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,22,1,1,5,171,3274
3360,-705395381,22.0,1.0,E:-165203842,Increasing gamma increases,Italy,"Increasing,gamma,increases,all,the,curves,,,although,the,sensitivity,is,smaller,than,with,respect,to,alpha,and,beta,.",after day 50,,22,1,4,5,174,3361
3009,-651892022,8.0,1.0,E:-1494366392,All the possible Equilibria are given by  s,Italy,"All,the,possible,Equilibria,are,given,by,s,;,0,;,0,;,0,;,0,;,0,;,H,;,E,D,th,i,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,2,9,163,3010
3031,-651892022,8.0,2.0,E:-1103986900,"I, D, A, R and T (the infected individuals), which are non-zero only during the transient",Italy,"S,th,H,th,E,(,1/4,),1,I,To,understand,the,system,behavior,,,we,partition,it,into,three,subsystems,:,the,first,includes,just,variable,S,(,corresponding,to,susceptible,individuals,),,,the,second,includes,I,,,D,,,A,,,R,and,T,(,the,infected,individuals,),,,which,are,non,zero,only,during,the,transient,,,and,the,third,includes,variables,H,and,E,(,representing,healed,and,defunct,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,3,9,164,3032
3032,-651892022,8.0,2.0,E:1433348332,"T (the infected individuals), which are non-zero only during the transient",Italy,"S,th,H,th,E,(,1/4,),1,I,To,understand,the,system,behavior,,,we,partition,it,into,three,subsystems,:,the,first,includes,just,variable,S,(,corresponding,to,susceptible,individuals,),,,the,second,includes,I,,,D,,,A,,,R,and,T,(,the,infected,individuals,),,,which,are,non,zero,only,during,the,transient,,,and,the,third,includes,variables,H,and,E,(,representing,healed,and,defunct,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,3,9,164,3033
3033,-651892022,8.0,2.0,E:-1677171090,"R and T (the infected individuals), which are non-zero only during the transient",Italy,"S,th,H,th,E,(,1/4,),1,I,To,understand,the,system,behavior,,,we,partition,it,into,three,subsystems,:,the,first,includes,just,variable,S,(,corresponding,to,susceptible,individuals,),,,the,second,includes,I,,,D,,,A,,,R,and,T,(,the,infected,individuals,),,,which,are,non,zero,only,during,the,transient,,,and,the,third,includes,variables,H,and,E,(,representing,healed,and,defunct,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,3,9,164,3034
3034,-651892022,8.0,2.0,E:-2029561753,"D, A, R and T (the infected individuals), which are non-zero only during the transient",Italy,"S,th,H,th,E,(,1/4,),1,I,To,understand,the,system,behavior,,,we,partition,it,into,three,subsystems,:,the,first,includes,just,variable,S,(,corresponding,to,susceptible,individuals,),,,the,second,includes,I,,,D,,,A,,,R,and,T,(,the,infected,individuals,),,,which,are,non,zero,only,during,the,transient,,,and,the,third,includes,variables,H,and,E,(,representing,healed,and,defunct,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,3,9,164,3035
3035,-651892022,8.0,2.0,E:-909524389,"A, R and T (the infected individuals), which are non-zero only during the transient",Italy,"S,th,H,th,E,(,1/4,),1,I,To,understand,the,system,behavior,,,we,partition,it,into,three,subsystems,:,the,first,includes,just,variable,S,(,corresponding,to,susceptible,individuals,),,,the,second,includes,I,,,D,,,A,,,R,and,T,(,the,infected,individuals,),,,which,are,non,zero,only,during,the,transient,,,and,the,third,includes,variables,H,and,E,(,representing,healed,and,defunct,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,3,9,164,3036
3089,-651892022,8.0,2.0,E:-592216364,partition it into three subsystems,Italy,"S,th,H,th,E,(,1/4,),1,I,To,understand,the,system,behavior,,,we,partition,it,into,three,subsystems,:,the,first,includes,just,variable,S,(,corresponding,to,susceptible,individuals,),,,the,second,includes,I,,,D,,,A,,,R,and,T,(,the,infected,individuals,),,,which,are,non,zero,only,during,the,transient,,,and,the,third,includes,variables,H,and,E,(,representing,healed,and,defunct,),.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,3,9,164,3090
3100,-651892022,8.0,2.0,E:987131597,I + D + A + R + T are zero,Italy,"An,important,observation,is,that,when,(,and,only,when,),the,infected,individuals,I,+,D,+,A,+,R,+,T,are,zero,are,the,remaining,variables,S,,,H,and,E,at,equilibrium,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,5,9,166,3101
3101,-651892022,8.0,2.0,E:-1987745776,I + D + A + R + T are zero,Italy,"An,important,observation,is,that,when,(,and,only,when,),the,infected,individuals,I,+,D,+,A,+,R,+,T,are,zero,are,the,remaining,variables,S,,,H,and,E,at,equilibrium,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,5,9,166,3102
3102,-651892022,8.0,2.0,E:643863928,I + D + A + R + T are zero,Italy,"An,important,observation,is,that,when,(,and,only,when,),the,infected,individuals,I,+,D,+,A,+,R,+,T,are,zero,are,the,remaining,variables,S,,,H,and,E,at,equilibrium,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,5,9,166,3103
3103,-651892022,8.0,2.0,E:-726209996,D + A + R + T are zero,Italy,"An,important,observation,is,that,when,(,and,only,when,),the,infected,individuals,I,+,D,+,A,+,R,+,T,are,zero,are,the,remaining,variables,S,,,H,and,E,at,equilibrium,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,5,9,166,3104
3104,-651892022,8.0,2.0,E:98444236,A + R + T are zero,Italy,"An,important,observation,is,that,when,(,and,only,when,),the,infected,individuals,I,+,D,+,A,+,R,+,T,are,zero,are,the,remaining,variables,S,,,H,and,E,at,equilibrium,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,5,9,166,3105
3105,-651892022,8.0,2.0,E:-175175232,infected individuals I + D + A + R + T are zero are the remaining variables S,Italy,"An,important,observation,is,that,when,(,and,only,when,),the,infected,individuals,I,+,D,+,A,+,R,+,T,are,zero,are,the,remaining,variables,S,,,H,and,E,at,equilibrium,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,1,5,9,166,3106
2881,-565002344,24.0,1.0,E:-576357039,"transmission coefficient delta, whose nominal value is delta=0",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,delta,,,whose,nominal,value,is,delta,=0,.0050,,,after,day,50,.",after day 50,,24,1,1,5,156,2882
2882,-565002344,24.0,1.0,E:-976195312,"transmission coefficient delta, whose nominal value is delta=0.0050",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,delta,,,whose,nominal,value,is,delta,=0,.0050,,,after,day,50,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,24,1,1,5,156,2883
2967,-565002344,24.0,1.0,E:861264416,Increasing delta increases,Italy,"Increasing,delta,increases,all,the,curves,,,although,the,sensitivity,is,smaller,than,with,respect,to,alpha,.",after day 50,,24,1,4,5,159,2968
2777,-558877510,26.0,1.0,E:-172990564,"testing coefficient theta, whose nominal value is theta=0.3705",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,testing,coefficient,theta,,,whose,nominal,value,is,theta,=0,.3705,,,after,day,50,.",after day 50,,28,1,1,5,151,2778
2864,-558877510,26.0,1.0,E:-2092505871,theta decreases all the curves,Italy,"Increasing,theta,decreases,all,the,curves,,,but,the,sensitivity,is,smaller,than,with,respect,to,epsilon,.",after day 50,,28,1,4,5,154,2865
1311,-191520119,1.0,1.0,E:-306162978,"Zuccaro, L. Pagnucco, B. Mariani, S. Ludovisi, R. Lissandrin, A. Parisi, P. Sacchi, S.F.A",,"Mondelli,,,E.,Brunetti,,,A.,Di,Matteo,,,E.,Seminari,,,L.,Maiocchi,,,v.,Zuccaro,,,L.,Pagnucco,,,B.,Mariani,,,S.,Ludovisi,,,R.,Lissandrin,,,A.,Parisi,,,P.,Sacchi,,,S.F.A,.",,bug - this is from references.,11,8,2,16,65,1312
6565,206292429,1.0,1.0,E:-590973074,",c, The difference between the actual (real cases",Italy,"a,,,c,,,The,difference,between,the,actual,(,real,cases,),and,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,.",over a 350-day horizon,,4,5,2,5,379,6566
6995,227770538,8.0,4.0,E:1459465309,"r1 = epsilon + zeta + lambda, r2 = eta + rho, r3 = theta + mu + kappa, r4 = nu + xi and r5 = sigma + tau",Italy,"where,r1,=,epsilon,+,zeta,+,lambda,,,r2,=,eta,+,rho,,,r3,=,theta,+,mu,+,kappa,,,r4,=,nu,+,xi,and,r5,=,sigma,+,tau,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,13,0,2,398,6996
6996,227770538,8.0,6.0,E:323045490,r4 = nu + xi and r5 = sigma + tau,Italy,"where,r1,=,epsilon,+,zeta,+,lambda,,,r2,=,eta,+,rho,,,r3,=,theta,+,mu,+,kappa,,,r4,=,nu,+,xi,and,r5,=,sigma,+,tau,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,13,0,2,398,6997
6997,227770538,8.0,6.0,E:981649063,r5 = sigma + tau,Italy,"where,r1,=,epsilon,+,zeta,+,lambda,,,r2,=,eta,+,rho,,,r3,=,theta,+,mu,+,kappa,,,r4,=,nu,+,xi,and,r5,=,sigma,+,tau,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,8,13,0,2,398,6998
7283,784322969,10.0,1.0,E:-1213841567,actual Case Fatality Rate is around 7.2%,Italy,"In,all,cases,,,the,actual,Case,Fatality,Rate,is,around,7.2,%,,,while,the,perceived,CFR,is,around,9.0,%,.","after day 22,in all cases",,13,1,2,5,423,7284
7284,784322969,10.0,1.0,E:802784930,actual Case Fatality Rate is around 7.2,Italy,"In,all,cases,,,the,actual,Case,Fatality,Rate,is,around,7.2,%,,,while,the,perceived,CFR,is,around,9.0,%,.","after day 22,in all cases",,13,1,2,5,423,7285
7285,784322969,10.0,1.0,E:-1516095343,actual Case Fatality Rate is around 7.2%,Italy,"In,all,cases,,,the,actual,Case,Fatality,Rate,is,around,7.2,%,,,while,the,perceived,CFR,is,around,9.0,%,.","after day 22,in all cases",,13,1,2,5,423,7286
7286,784322969,10.0,2.0,E:177225420,perceived CFR is around 9.0%,Italy,"In,all,cases,,,the,actual,Case,Fatality,Rate,is,around,7.2,%,,,while,the,perceived,CFR,is,around,9.0,%,.","after day 22,in all cases",,13,1,2,5,423,7287
7287,784322969,10.0,1.0,E:-906253803,perceived CFR is around 9.0,Italy,"In,all,cases,,,the,actual,Case,Fatality,Rate,is,around,7.2,%,,,while,the,perceived,CFR,is,around,9.0,%,.","after day 22,in all cases",,13,1,2,5,423,7288
7288,784322969,10.0,1.0,E:21290282,perceived CFR is around 9.0%,Italy,"In,all,cases,,,the,actual,Case,Fatality,Rate,is,around,7.2,%,,,while,the,perceived,CFR,is,around,9.0,%,.","after day 22,in all cases",,13,1,2,5,423,7289
7307,784322969,13.0,1.0,E:-236633002,"panels (b), (d), (f",,"Panels,(,a,),,,(,c,),,,(,e,),,,(,g,),show,the,difference,between,the,actual,(,real,cases,),and,the,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,,,while,panels,(,b,),,,(,d,),,,(,f,),,,(,h,),distinguish,between,the,different,categories,of,infected,patients,.",,bug - this is from caption suggesting figures as panels.,13,1,3,5,424,7308
7308,784322969,13.0,1.0,E:-2120538946,"Panels (a), (c",,"Panels,(,a,),,,(,c,),,,(,e,),,,(,g,),show,the,difference,between,the,actual,(,real,cases,),and,the,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,,,while,panels,(,b,),,,(,d,),,,(,f,),,,(,h,),distinguish,between,the,different,categories,of,infected,patients,.",,bug - this is from caption suggesting figures as panels.,13,1,3,5,424,7309
7309,784322969,13.0,1.0,E:-1840041943,"panels (b), (d), (f),",,"Panels,(,a,),,,(,c,),,,(,e,),,,(,g,),show,the,difference,between,the,actual,(,real,cases,),and,the,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,,,while,panels,(,b,),,,(,d,),,,(,f,),,,(,h,),distinguish,between,the,different,categories,of,infected,patients,.",,bug - this is from caption suggesting figures as panels.,13,1,3,5,424,7310
7310,784322969,13.0,1.0,E:1341120234,"panels (b), (d",,"Panels,(,a,),,,(,c,),,,(,e,),,,(,g,),show,the,difference,between,the,actual,(,real,cases,),and,the,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,,,while,panels,(,b,),,,(,d,),,,(,f,),,,(,h,),distinguish,between,the,different,categories,of,infected,patients,.",,bug - this is from caption suggesting figures as panels.,13,1,3,5,424,7311
7311,784322969,13.0,1.0,E:1510923806,"panels (b), (d), (f), (h",,"Panels,(,a,),,,(,c,),,,(,e,),,,(,g,),show,the,difference,between,the,actual,(,real,cases,),and,the,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,,,while,panels,(,b,),,,(,d,),,,(,f,),,,(,h,),distinguish,between,the,different,categories,of,infected,patients,.",,bug - this is from caption suggesting figures as panels.,13,1,3,5,424,7312
7312,784322969,13.0,1.0,E:1250590758,"Panels (a), (c), (e),",,"Panels,(,a,),,,(,c,),,,(,e,),,,(,g,),show,the,difference,between,the,actual,(,real,cases,),and,the,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,,,while,panels,(,b,),,,(,d,),,,(,f,),,,(,h,),distinguish,between,the,different,categories,of,infected,patients,.",,bug - this is from caption suggesting figures as panels.,13,1,3,5,424,7313
7313,784322969,13.0,1.0,E:105165875,"Panels (a), (c), (e), (g",,"Panels,(,a,),,,(,c,),,,(,e,),,,(,g,),show,the,difference,between,the,actual,(,real,cases,),and,the,perceived,(,diagnosed,cases,),evolution,of,the,epidemics,,,while,panels,(,b,),,,(,d,),,,(,f,),,,(,h,),distinguish,between,the,different,categories,of,infected,patients,.",,bug - this is from caption suggesting figures as panels.,13,1,3,5,424,7314
7371,832985654,18.0,1.0,E:-38120382,"transmission coefficient alpha, whose nominal value is alpha=0",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,alpha,,,whose,nominal,value,is,alpha,=0,.21,,,after,day,50,.",after day 50,,18,1,1,5,427,7372
7372,832985654,18.0,1.0,E:762066551,"transmission coefficient alpha, whose nominal value is alpha=0.21",Italy,"Sensitivity,analysis,showing,the,effect,of,varying,the,transmission,coefficient,alpha,,,whose,nominal,value,is,alpha,=0,.21,,,after,day,50,.",after day 50,,18,1,1,5,427,7373
7464,832985654,18.0,1.0,E:1451462885,model is extremely sensitive to variations,Italy,"Increasing,alpha,significantly,increases,all,the,curves,:,the,model,is,extremely,sensitive,to,variations,in,the,value,of,alpha,.",after day 50,,18,1,4,5,430,7465
7518,931871494,2.0,3.0,E:-1623691057,"progressive restrictions, including the most recent lockdown progressively enforced since 9 March 2020, have affected the spread of  the epidemic",Italy,"For,the,COVID-19,epidemic,in,Italy,,,we,estimate,the,model,parameters,based,on,data,from,20,February,2020,(,day,1,),to,5,April,2020,(,day,46,),and,show,how,the,progressive,restrictions,,,including,the,most,recent,lockdown,progressively,enforced,since,9,March,2020,,,have,affected,the,spread,of,the,epidemic,.","9 March 2020,20 February 2020 (day 1) to 5 April 2020 (day 46)",,2,6,0,7,433,7519
7543,931871494,2.0,3.0,E:-855206206,R0 = 2.38,Italy,"On,day,1,,,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,substantial,outbreak,.",day 1,,2,6,3,7,436,7544
7544,931871494,2.0,3.0,E:1192125863,basic reproduction number was R0,Italy,"On,day,1,,,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,substantial,outbreak,.",day 1,,2,6,3,7,436,7545
7545,931871494,2.0,3.0,E:1539122875,R0 = 2.38,Italy,"On,day,1,,,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,substantial,outbreak,.",day 1,,2,6,3,7,436,7546
7562,931871494,2.0,3.0,E:-1716248178,"R0 = 2.38, which resulted in a substantial outbreak",Italy,"On,day,1,,,the,basic,reproduction,number,was,R0,=,2.38,,,which,resulted,in,a,substantial,outbreak,.","day 1,20 February 2020 (day 1) to 5 April 2020 (day 46)",,2,6,3,7,436,7563
7563,931871494,2.0,3.0,E:2134495516,R0 = 1.66,Italy,"On,day,4,,,R0,=,1.66,as,a,result,of,the,introduction,of,basic,social,distancing,,,awareness,of,the,epidemic,,,hygiene,and,behavioral,recommendations,,,and,early,measures,by,the,Italian,government,(,for,example,,,closing,schools,),.",day 4,,2,6,4,7,437,7564
7586,931871494,2.0,3.0,E:-1471026472,R0 = 1.80,Italy,"At,day,12,,,asymptomatic,individuals,were,almost,no,longer,detected,,,and,screening,was,focused,on,symptomatic,individuals,(,leading,to,R0,=,1.80,),.",day 4,,2,6,5,7,438,7587
7734,957179368,9.0,1.0,E:-1980909979,quantity that can be computed based on our model,,"The,estimated,parameter,values,are,based,on,the,data,about,the,number,of,currently,infected,individuals,with,different,SOI,(,asymptomatic,or,pauci-symptomatic,,,quarantined,at,home,,,roughly,corresponding,to,variable,D,(,t,),in,our,model,;,symptomatic,and,hospitalized,,,roughly,corresponding,to,variable,R,(,t,),in,our,model,;,symptomatic,in,life-threatening,conditions,,,admitted,to,ICUs,,,roughly,corresponding,to,variable,T,(,t,),in,our,model,),and,the,number,of,diagnosed,individuals,who,recovered,(,roughly,corresponding,to,the,quantity,that,can,be,computed,based,on,our,model,),.",,"bug, missing some values between quantity and that can be",9,12,4,87,444,7735
7854,957179368,9.0,3.0,E:1758240559,it can also be explained by the Italian criteria,Italy,"Perhaps,more,importantly,,,it,can,also,be,explained,by,the,Italian,criteria,for,(,provisional,),statistics,,,which,lead,to,overestimation,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,9,12,7,87,447,7855
7855,957179368,9.0,4.0,E:475297378,"Italian criteria for (provisional) statistics, which lead to overestimation",Italy,"Perhaps,more,importantly,,,it,can,also,be,explained,by,the,Italian,criteria,for,(,provisional,),statistics,,,which,lead,to,overestimation,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,9,12,7,87,447,7856
7907,957179368,9.0,6.0,E:616789062,initial data are affected by statistical distortion,Italy,"Thus,,,an,important,challenge,in,tuning,the,model,is,that,the,initial,data,are,affected,by,statistical,distortion,:,in,particular,,,the,values,of,the,ratio,death,/,infected,are,highly,overestimated,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,9,12,9,87,449,7908
7950,957179368,9.0,3.0,E:-2145380891,model is weakly sensitive to the initial conditions,"Italian population,Italian society,Italy","It,is,also,worth,stressing,that,,,in,the,long,run,,,the,model,is,weakly,sensitive,to,the,initial,conditions,;,for,this,reason,,,the,initial,mismatch,concerning,the,mortality,data,has,little,impact,.",20 February 2020(day 1) through 5 April 2020 (day 46),,9,12,12,87,452,7951
7963,957179368,9.0,5.0,E:-1798887038,parameters that locally minimize the sum of the squares of the errors,Italy,"We,adopt,a,best-fit,approach,to,find,the,parameters,that,locally,minimize,the,sum,of,the,squares,of,the,errors,.",20 February 2020 (day 1) through 5 April 2020 (day 46),,9,12,13,87,453,7964
8036,957179368,9.0,6.0,E:2017822845,S = 1,Italy,"In,particular,,,the,fraction,of,the,population,in,each,stage,at,day,1,is,set,as,:,i,=,200/60,E6,,,D,=,20/60,E6,,,a,=,1/60,E6,,,R,=,2/60,E6,,,T,=,0,,,H,=,0,,,E,=,0,;,S,=,1,-,i,-,D,-,A,-,R,-,T,-,H,-,E.",day 1,,9,12,18,87,458,8037
8037,957179368,9.0,6.0,E:47793134,D = 20/60,Italy,"In,particular,,,the,fraction,of,the,population,in,each,stage,at,day,1,is,set,as,:,i,=,200/60,E6,,,D,=,20/60,E6,,,a,=,1/60,E6,,,R,=,2/60,E6,,,T,=,0,,,H,=,0,,,E,=,0,;,S,=,1,-,i,-,D,-,A,-,R,-,T,-,H,-,E.",day 1,"error in the event - D=20/60e6 but D = 20/60, probably COSMOS bug too.",9,12,18,87,458,8038
8038,957179368,9.0,6.0,E:-1460898523,i = 200/60,Italy,"In,particular,,,the,fraction,of,the,population,in,each,stage,at,day,1,is,set,as,:,i,=,200/60,E6,,,D,=,20/60,E6,,,a,=,1/60,E6,,,R,=,2/60,E6,,,T,=,0,,,H,=,0,,,E,=,0,;,S,=,1,-,i,-,D,-,A,-,R,-,T,-,H,-,E.",day 1,,9,12,18,87,458,8039
8039,957179368,19.0,6.0,E:1006588732,R = 2/60,Italy,"In,particular,,,the,fraction,of,the,population,in,each,stage,at,day,1,is,set,as,:,i,=,200/60,E6,,,D,=,20/60,E6,,,a,=,1/60,E6,,,R,=,2/60,E6,,,T,=,0,,,H,=,0,,,E,=,0,;,S,=,1,-,i,-,D,-,A,-,R,-,T,-,H,-,E.",day 1,,9,12,18,87,458,8040
8040,957179368,9.0,6.0,E:1587742414,E = 0,Italy,"In,particular,,,the,fraction,of,the,population,in,each,stage,at,day,1,is,set,as,:,i,=,200/60,E6,,,D,=,20/60,E6,,,a,=,1/60,E6,,,R,=,2/60,E6,,,T,=,0,,,H,=,0,,,E,=,0,;,S,=,1,-,i,-,D,-,A,-,R,-,T,-,H,-,E.",day 1,,9,12,18,87,458,8041
8041,957179368,9.0,6.0,E:725088047,a = 1/60,Italy,"In,particular,,,the,fraction,of,the,population,in,each,stage,at,day,1,is,set,as,:,i,=,200/60,E6,,,D,=,20/60,E6,,,a,=,1/60,E6,,,R,=,2/60,E6,,,T,=,0,,,H,=,0,,,E,=,0,;,S,=,1,-,i,-,D,-,A,-,R,-,T,-,H,-,E.",day 1,"error in the event - a=1/60e6 but a = 1/60, probably COSMOS bug too.",9,12,18,87,458,8042
